16	44	S	-9204.233	5.216
17	44	Cl	-20384.523	136.321
18	44	Ar	-32673.255	1.584
19	44	K	-35781.492	0.419
20	44	Ca	-41468.675	0.325
21	44	Sc	-37815.985	1.756
22	44	Ti	-37548.569	0.7
23	44	V	-24116.38	181.641
24	44	Cr	-13360#	300#
25	44	Mn	7030#	500#
14	45	Si	37490#	700#
15	45	P	15600#	500#
16	45	S	-3989.589	1035.356
17	45	Cl	-18262.543	136.163
18	45	Ar	-29770.796	0.512
19	45	K	-36615.638	0.522
20	45	Ca	-40812.174	0.366
21	45	Sc	-41071.896	0.675
22	45	Ti	-39009.84	0.845
23	45	V	-31886.016	0.872
24	45	Cr	-19514.799	35.397
25	45	Mn	-5250#	400#
26	45	Fe	13762#	400#
15	46	P	22970#	700#
16	46	S	340#	500#
17	46	Cl	-13859.398	208.661
18	46	Ar	-29772.926	1.118
19	46	K	-35413.924	0.727
20	46	Ca	-43139.361	2.235
21	46	Sc	-41761.219	0.683
22	46	Ti	-44127.799	0.165
23	46	V	-37075.351	0.202
24	46	Cr	-29471.567	11.453
25	46	Mn	-12570#	400#
26	46	Fe	910#	500#
15	47	P	29710#	800#
16	47	S	7370#	500#
17	47	Cl	-9780#	400#
18	47	Ar	-25366.338	1.118
19	47	K	-35711.976	1.397
20	47	Ca	-42344.418	2.222
21	47	Sc	-44336.595	1.933
22	47	Ti	-44937.364	0.115
23	47	V	-42006.618	0.169
24	47	Cr	-34562.578	6.03
25	47	Mn	-22566.374	31.671
26	47	Fe	-6870#	500#
27	47	Co	10370#	600#
16	48	S	12761#	596#
17	48	Cl	-4280#	500#
18	48	Ar	-22281.337	307.393
19	48	K	-32284.477	0.773
20	48	Ca	-44224.629	0.096
21	48	Sc	-44503.842	4.951
22	48	Ti	-48492.709	0.109
23	48	V	-44477.694	0.975
24	48	Cr	-42822.02	7.324
25	48	Mn	-29296.338	6.939
26	48	Fe	-18000#	400#
27	48	Co	1500#	500#
28	48	Ni	16793#	502#
16	49	S	21093#	667#
17	49	Cl	940#	600#
18	49	Ar	-17190#	400#
19	49	K	-29611.49	0.801
20	49	Ca	-41299.765	0.201
21	49	Sc	-46561.265	2.698
22	49	Ti	-48563.787	0.114
23	49	V	-47961.931	0.828
24	49	Cr	-45333.06	2.243
25	49	Mn	-37620.634	2.255
26	49	Fe	-24750.727	24.219
27	49	Co	-9880#	500#
28	49	Ni	8200#	600#
17	50	Cl	7740#	600#
18	50	Ar	-13330#	500#
19	50	K	-25727.848	7.731
20	50	Ca	-39589.224	1.584
21	50	Sc	-44547.382	15
22	50	Ti	-51431.66	0.121
23	50	V	-49224.013	0.409
24	50	Cr	-50262.072	0.437
25	50	Mn	-42627.595	0.442
26	50	Fe	-34476.456	8.383
27	50	Co	-17630#	400#
28	50	Ni	-4120#	500#
17	51	Cl	14290#	700#
18	51	Ar	-6690#	600#
19	51	K	-22516.196	13.047
20	51	Ca	-36332.304	0.522
21	51	Sc	-43228.684	20
22	51	Ti	-49732.837	0.505
23	51	V	-52203.842	0.401
24	51	Cr	-51451.395	0.4
25	51	Mn	-48243.877	0.502
26	51	Fe	-40202.555	8.964
27	51	Co	-27342.143	48.438
28	51	Ni	-11900#	500#
18	52	Ar	-1280#	600#
19	52	K	-17137.627	33.534
20	52	Ca	-34266.266	0.671
21	52	Sc	-40443.279	81.852
22	52	Ti	-49469.82	7.072
23	52	V	-51443.769	0.42
24	52	Cr	-55419.242	0.34
25	52	Mn	-50707.284	1.845
26	52	Fe	-48330.363	5.117
27	52	Co	-34360.951	8.383
28	52	Ni	-22330#	400#
29	52	Cu	-2280#	600#
18	53	Ar	6791#	699#
19	53	K	-12295.721	111.779
20	53	Ca	-29387.704	43.78
21	53	Sc	-38906.808	94.087
22	53	Ti	-46831.061	100.049
23	53	V	-51851.061	3.12
24	53	Cr	-55286.999	0.348
25	53	Mn	-54690.116	0.45
26	53	Fe	-50947.53	1.656
27	53	Co	-42659.428	1.713
28	53	Ni	-29630.824	25.15
29	53	Cu	-13270#	500#
19	54	K	-5002#	596#
20	54	Ca	-25160.585	48.438
21	54	Sc	-33890.9	272.8
22	54	Ti	-45621.981	82.461
23	54	V	-49893.173	15.004
24	54	Cr	-56934.765	0.353
25	54	Mn	-55557.629	1.059
26	54	Fe	-56254.5	0.372
27	54	Co	-48009.953	0.383
28	54	Ni	-39278.308	4.657
29	54	Cu	-21410#	400#
30	54	Zn	-6272#	400#
19	55	K	708#	699#
20	55	Ca	-18350#	300#
21	55	Sc	-30159.352	454.342
22	55	Ti	-41668.088	161.602
23	55	V	-49144.586	95.104
24	55	Cr	-55109.71	0.399
25	55	Mn	-57712.413	0.303
26	55	Fe	-57481.3	0.342
27	55	Co	-54029.883	0.428
28	55	Ni	-45335.849	0.719
29	55	Cu	-31635.399	155.559
30	55	Zn	-14570#	400#
19	56	K	7927#	801#
20	56	Ca	-13898#	400#
21	56	Sc	-24852.26	586.841
22	56	Ti	-39320.048	121.247
23	56	V	-46154.881	176.898
24	56	Cr	-55285.001	0.603
25	56	Mn	-56911.538	0.331
26	56	Fe	-60607.082	0.302
27	56	Co	-56040.402	0.493
28	56	Ni	-53907.539	0.422
29	56	Cu	-38643.029	14.904
30	56	Zn	-25390#	400#
31	56	Ga	-3390#	500#
20	57	Ca	-6874#	400#
21	57	Sc	-20995.875	1304.092
22	57	Ti	-33915.633	256.417
23	57	V	-44413.45	80.479
24	57	Cr	-52524.702	1.068
